Title,Category,Year,Violence
King's Quest VII: The Princeless Bride,Adventure,1994,False
King's Quest: Quest for the Crown,Adventure,1987,False
Kingdom At War,Turn-Based Strategy,1995,False
Kingdom of Kroz II,Adventure,1987,False
The Kingdom of Syree,Role-Playing,1992,False
The Kingdom of Syree II: Black Magic,Role-Playing,1994,False
The Kingdom of Syree III: The Depths of Hell,Role-Playing,1998,False
Kingdom: The Far Reaches,Adventure,1995,False
"KKnD: Krush, Kill N Destroy",Real-Time Strategy,1997,True
Knights of the Sky,Simulation,1990,False
Kondor,Shooter,1999,False
Kosmonaut,Arcade,1990,False
Krypton Egg,Arcade,1994,False
L5RC,Miscellaneous,1998,False
Lamborghini: American Challenge,Racing,1992,False
Lands of Lore: Guardians of Destiny,Role-Playing,1997,False
Lands of Lore: The Throne of Chaos,Role-Playing,1993,False
The Last Express,Adventure,1997,False
The Legend of Kyrandia,Adventure,1992,False
The Legend of Kyrandia: Malcolm's Revenge,Adventure,1994,False
The Legend of Kyrandia: The Hand of Fate,Adventure,1993,False
Legend of the Silver Talisman,Arcade,1996,False
Legends of Valour,Role-Playing,1992,True
Leisure Suit Larry 1: In the Land of the Lounge Lizards,Adventure,1991,False
Leisure Suit Larry 6: Shape Up or Slip Out!,Adventure,1993,False
Leisure Suit Larry in the Land of the Lounge Lizards,Adventure,1987,False
Lemmings,Puzzle,1991,False
Lemmings 2: The Tribes,Puzzle,1993,False
The Lemmings Chronicles,Puzzle,1994,False
LHX Attack Chopper,Simulation,1990,False
Liero,Shooter,1999,True
LineWars II,Simulation,1994,False
The Lion King,Platform,1994,False
Litil Divil,Adventure,1993,False
Loader Larry,Puzzle,1993,False
Lollypop,Platform,1994,False
Loom,Adventure,1990,False
Lords of Doom: Part One: The Black God,Role-Playing,1996,True
Lords of the Realm,Turn-Based Strategy,1994,False
Lords of the Realm II,Turn-Based Strategy,1996,False
The Lost Vikings,Platform,1993,False
Lure of the Temptress,Adventure,1992,False
M.A.X.: Mechanized Assault & Exploration ,Turn-Based Strategy,1996,False
Machiavelli the Prince,Turn-Based Strategy,1995,False
MadSpace,First-Person Shooter,1997,False
Magic Carpet,First-Person Shooter,1994,True
Magic Carpet 2,First-Person Shooter,1995,True
Magic: The Gathering,Traditional,1997,False
